id,influence
0,2.63457
1,1.28383
2,1.15466
3,9.71149
4,1.69001
5,1.71418
6,1.71726
7,1.53617
8,1.18783
9,2.15206
10,1.42764
11,1.31672
12,1.42522
13,1.66769
14,3.37753
15,1.9573
16,3.32678
17,1.18783
18,1.95411
19,1.62045
20,1.15466
21,1.15466
22,25.6371
23,1.28141
24,1.15466
25,2.25776
26,1.15466
27,1.86199
28,2.03742
29,2.65379
30,1.15466
31,1.54362
32,1.61375
33,26.1762
34,25.4552
35,18.0058
36,1.54362
37,1.33376
38,1.54362
39,1.72272
40,1.15466
41,1.15466
42,1.41057
43,1.68648
44,1.15466
45,1.23597
46,3.85299
47,1.42522
48,1.41105
49,1.40184
50,1.8129
51,1.40184
52,1.40184
53,1.40184
54,1.40184
55,1.47603
56,1.40184
57,1.40184
58,1.40184
59,1.40184
60,1.40184
61,6.91926
62,3.52913
63,5.43111
64,2.6155
65,3.56934
66,2.83105
67,5.17349
68,4.71017
69,2.4401
70,3.78896
71,2.26943
72,5.51016
73,5.34732
74,2.65453
75,1.89732
76,3.70341
77,2.0951
78,2.15916
79,2.96126
80,3.0699
81,2.89922
82,1
83,1.44444
84,1.44444
85,1.44444
86,1.44444
87,1.44444
88,1.44444
89,1.44444
90,1.84633
91,1.44444
92,1.06667
93,1.10598
94,1.10598
95,1.27142
96,1.10598
97,1.4528
98,1.10598
99,1.10598
100,1.19861
101,1.95837
102,2.19081
103,1.10598
104,1.10598
105,1.10598
106,1.10598
107,1.18441
108,1.35635
109,1.15093
110,1.10598
111,1.10598
112,1.17265
113,1.10598
114,1.10598
115,1.10598
116,1.10598
117,1.10598
118,1.10598
119,1.10598
120,1.10598
121,1.10598
122,1.10598
123,1.10598
124,1.10598
125,1.10598
126,1.10598
127,1.10598
128,1.17265
129,1.10598
130,1.10598
131,1.17265
132,1.07143
133,1.29592
134,1.82066
135,2.27656
136,1.68147
137,4.98763
138,1.29592
139,1.29592
140,1.29592
141,1.36735
142,3.33784
143,1.29592
144,1.29592
145,1.73185
146,2.52178
147,2.98595
148,1.81258
149,2.99758
150,1.49824
151,2.18457
152,3.74483
153,1.80575
154,5.90381
155,2.96725
156,3.08641
157,1.81258
158,1.87722
159,2.77207
160,1.49824
161,1.81258
162,1.81258
163,1.85142
164,1.08271
165,1.26382
166,1.18111
167,1.18111
168,1.18111
169,1.29934
170,1.18111
171,1.18111
172,1.18111
173,1.18111
174,2.22682
175,1.18111
176,1.18111
177,1.26382
178,1.45247
179,1.18111
180,1.18111
181,1.18111
182,4.3826
183,1.18111
184,1.45247
185,1.31083
186,1.61913
187,1.26382
188,1
189,3.33333
190,3.33333
191,3.33333
192,2
193,1.18165
194,1.18971
195,1.18971
196,1.18971
197,1.18971
198,1.18971
199,1.18971
200,1.32218
201,1.32218
202,1.18971
203,1.18971
204,1.18971
205,1.18971
206,1.18971
207,1.18971
208,1.18971
209,1.18971
210,1.32218
211,1.27051
212,1.18971
213,1.18971
214,1.18971
215,1.18971
216,1.18971
217,1.08396
218,1.34733
219,1.34733
220,1.34733
221,1.34733
222,1.34733
223,1.34733
224,1.51238
225,1.34733
226,1.34733
227,1.66878
228,2.03657
229,1.34733
230,1
231,1.04211
232,1.04211
233,1.04211
234,1.04211
235,1.04211
236,1.04211
237,1.04211
238,1.04211
239,1.04211
240,1.076
241,1.04211
242,1.04211
243,3.93937
244,1.04211
245,1.04211
246,1.04211
247,1.04211
248,1.04211
249,1.27088
250,1.08929
251,2.7911
252,1.04211
253,1.09925
254,1.04211
255,1.04211
256,1.04211
257,1.04211
258,1.04211
259,1.04211
260,1.04211
261,1.04211
262,1.04211
263,1.04211
264,1.04211
265,1.04211
266,1.04211
267,1.9802
268,1.04211
269,1.12054
270,1.12054
271,1.04211
272,5.07633
273,1.04211
274,1.04211
275,1.04211
276,1.04211
277,1.04211
278,1.04211
279,1.04211
280,1.04211
281,1.04211
282,1.04211
283,1.04211
284,1.04211
285,1.11897
286,1.04211
287,4.9153
288,1.04211
289,1.04211
290,1.04211
291,1.04211
