from,to,influence
1,3,3.54617
1,4,1.30004
1,5,1.30412
1,6,1.30697
1,7,1.22423
1,8,1.06849
1,9,1.52624
1,10,1.18083
1,11,1.12753
1,12,1.17992
1,13,1.29064
1,14,1.8644
1,15,1.41836
1,16,1.90546
1,17,1.06849
1,18,1.42061
1,19,1.26842
1,20,1.05376
1,21,1.05376
1,22,8.06214
1,23,1.11199
1,24,1.05376
1,25,1.57415
1,26,1.05376
1,27,1.38401
1,28,1.45082
1,29,1.7113
1,30,1.05376
1,31,1.22365
1,32,1.27114
1,33,8.19775
1,34,9.25522
1,35,7.06061
1,36,1.22365
1,37,1.12636
1,38,1.22365
1,39,1.29625
1,40,1.05376
1,41,1.05376
1,42,1.17112
1,43,1.29285
1,44,1.05376
1,45,1.09111
1,46,2.20434
1,47,1.17992
1,48,1.13928
1,49,1.17064
50,51,1.17064
50,52,1.17064
50,53,1.17064
50,54,1.17064
50,55,1.20272
50,56,1.17064
50,57,1.17064
50,58,1.17064
50,59,1.17064
50,60,1.17064
50,61,3.07476
50,62,1.6706
63,64,1.38342
63,65,1.79071
63,66,1.54025
63,67,2.30414
63,68,2.00511
63,69,1.37313
63,70,1.91218
63,71,1.30117
63,72,2.74615
63,73,2.23088
63,74,1.46801
63,75,1.2089
63,76,1.87427
63,77,1.29632
63,78,1.31677
63,79,1.67561
63,80,1.58099
63,81,1.50904
64,63,2.69741
64,69,1.37313
64,70,1.91218
64,82,1
64,75,1.2089
64,83,1.21528
84,85,1.21528
84,86,1.21528
84,87,1.21528
84,88,1.21528
84,89,1.21528
84,90,1.38318
84,91,1.21528
84,92,1.03229
84,93,1.05037
94,95,1.12992
94,96,1.05037
94,97,1.21444
94,98,1.05037
94,99,1.05037
94,100,1.09484
94,101,1.46069
94,102,1.53658
94,103,1.05037
94,104,1.05037
94,105,1.05037
94,106,1.05037
94,107,1.08836
94,108,1.16966
94,109,1.07214
94,110,1.05037
94,111,1.05037
94,112,1.08267
94,113,1.05037
94,114,1.05037
94,115,1.05037
94,116,1.05037
94,117,1.05037
94,118,1.05037
94,119,1.05037
94,120,1.05037
